System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
18:51:59:565, 161157187450008,    0.111,    6.000,  400,   5.230,   0.578,   0.161,   3.837,   0.424,   0.118, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:51:59:677, 161157464377561,    0.221,   15.000,  700,   4.011,   1.023,   0.284,   2.611,   0.714,   0.198, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:51:59:782, 161157725384160,    0.326,   13.000, 3000,  18.788,   2.988,   0.830,  17.096,   2.501,   0.695, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:51:59:884, 161157981644776,    0.429,    9.000, 3100,  13.646,   4.389,   1.219,  12.009,   3.734,   1.037, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:51:59:990, 161158246832943,    0.535,    6.000,  500,   3.956,   4.809,   1.336,   2.806,   4.032,   1.120, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:52:00:101, 161158523495334,    0.646,   12.000,  500,   5.194,   5.385,   1.496,   3.856,   4.460,   1.239, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:52:00:212, 161158801314411,    0.757,    6.000,  400,  10.578,   6.562,   1.823,   9.185,   5.482,   1.523, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:52:00:334, 161159104042994,    0.878,    7.000, 2700,   2.915,   6.916,   1.921,   2.742,   5.815,   1.615, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:52:00:445, 161159382078919,    0.990,   12.000,  400,   6.661,   7.658,   2.127,   3.897,   6.249,   1.736, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:52:00:556, 161159660236867,    1.101,    7.000,  400,   9.356,   8.700,   2.417,   8.060,   7.147,   1.985, 26,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:52:00:668, 161159938284834,    1.213,    8.000,  500,   3.044,   9.039,   2.511,   1.849,   7.353,   2.043, 26,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:52:00:780, 161160217469455,    1.324,    8.000,  700,   2.335,   9.300,   2.583,   1.161,   7.483,   2.079, 26,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
18:52:00:891, 161160494774365,    1.436,    8.000, 2200,   3.063,   9.641,   2.678,   1.779,   7.680,   2.133, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
