System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
20:05:16:527, 190248429584721,    0.113,   27.000, 4100,  29.467,   3.344,   0.929,  27.655,   3.138,   0.872, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:16:636, 190248702234011,    0.223,   13.000, 4100,  21.252,   5.665,   1.574,  22.159,   5.559,   1.544, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:16:743, 190248970912172,    0.330,   12.000, 4100,  26.938,   8.565,   2.379,  22.547,   7.986,   2.218, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:16:853, 190249243209922,    0.439,   12.000, 4100,  28.665,  11.692,   3.248,  26.991,  10.930,   3.036, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:16:961, 190249513756970,    0.548,   22.000, 2900,  24.615,  14.360,   3.989,  22.582,  13.378,   3.716, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:17:086, 190249825983537,    0.673,   25.000, 4100,  26.666,  17.696,   4.916,  24.748,  16.474,   4.576, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:17:198, 190250105915313,    0.785,   20.000, 4100,  26.407,  20.657,   5.738,  24.395,  19.210,   5.336, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:17:308, 190250379969150,    0.895,   21.000, 4100,  26.765,  23.596,   6.554,  24.968,  21.951,   6.098, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:17:417, 190250652021801,    1.004,   20.000, 4100,  27.569,  26.601,   7.389,  25.559,  24.737,   6.871, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:17:526, 190250923157909,    1.113,   17.000, 4100,  25.140,  29.332,   8.148,  23.495,  27.289,   7.580, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:17:634, 190251193241497,    1.221,   18.000, 4100,  27.427,  32.300,   8.972,  25.469,  30.045,   8.346, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:17:743, 190251465931166,    1.330,   13.000, 4100,  23.434,  34.860,   9.683,  21.760,  32.422,   9.006, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:17:851, 190251734561420,    1.438,   12.000, 4100,  21.962,  37.224,  10.340,  20.221,  34.599,   9.611, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:17:959, 190252004575400,    1.546,   22.000, 4100,  22.200,  39.625,  11.007,  20.328,  36.798,  10.222, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:18:083, 190252313155479,    1.669,   28.000, 4100,  22.086,  42.356,  11.765,  20.183,  39.293,  10.915, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
