System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
16:39:05:212, 197931258212362,    0.117,   14.000, 4100,  33.645,   3.937,   1.094,  31.912,   3.734,   1.037, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:05:320, 197931527815090,    0.225,   30.000, 4100,  30.206,   7.200,   2.000,  28.064,   6.766,   1.879, 43,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:05:428, 197931799117357,    0.334,   36.000, 4100,  61.106,  13.841,   3.845,  59.297,  13.211,   3.670, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:05:536, 197932068806034,    0.442,   34.000, 4100,  39.945,  18.157,   5.044,  42.589,  17.812,   4.948, 43,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:05:659, 197932375364508,    0.565,   27.000, 4100,  50.369,  24.344,   6.762,  44.280,  23.251,   6.459, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:05:769, 197932649884102,    0.675,   15.000, 4100,  25.287,  27.125,   7.535,  23.686,  25.856,   7.182, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:05:876, 197932916006904,    0.781,   13.000, 4100,  22.657,  29.541,   8.206,  20.803,  28.074,   7.798, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:05:986, 197933192004167,    0.892,   15.000, 4100,  29.655,  32.820,   9.117,  27.862,  31.155,   8.654, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:06:094, 197933459207666,    0.999,   21.000, 4100,  31.836,  36.228,  10.063,  29.688,  34.333,   9.537, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:06:248, 197933844792021,    1.153,   28.000, 4100,  28.329,  40.604,  11.279,  28.357,  38.714,  10.754, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:06:356, 197934113883392,    1.261,   13.000, 4100,  21.080,  42.877,  11.910,  16.620,  40.505,  11.251, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:06:465, 197934385829627,    1.370,   14.000, 4100,  27.545,  45.878,  12.744,  25.928,  43.330,  12.036, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:06:573, 197934657230472,    1.479,   12.000, 4100,  20.763,  48.135,  13.371,  18.980,  45.394,  12.609, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
