System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
16:38:50:765, 197895198213901,    0.119,   40.000, 4100,  51.287,   6.114,   1.698,  49.391,   5.888,   1.636, 45,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:50:888, 197895506417245,    0.243,   16.000, 4100,  30.459,   9.875,   2.743,  30.841,   9.696,   2.693, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:50:997, 197895778335153,    0.352,   21.000, 4100,  32.304,  13.394,   3.721,  27.896,  12.735,   3.538, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:51:121, 197896088049658,    0.476,   35.000, 3000,  33.862,  17.596,   4.888,  31.795,  16.681,   4.634, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:51:260, 197896434945012,    0.615,   32.000, 4100,  40.965,  23.289,   6.469,  38.820,  22.076,   6.132, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:51:383, 197896740694546,    0.737,   37.000, 4100,  37.204,  27.847,   7.735,  34.836,  26.343,   7.318, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:51:506, 197897047377890,    0.860,   34.000, 4100,  45.057,  33.383,   9.273,  42.935,  31.618,   8.783, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:51:630, 197897358519494,    0.985,   34.000, 4100,  27.874,  36.857,  10.238,  25.699,  34.822,   9.673, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:51:739, 197897629097448,    1.093,   38.000, 4100,  40.361,  41.233,  11.454,  38.042,  38.946,  10.818, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:51:846, 197897896001331,    1.200,   27.000, 4100,  32.489,  44.707,  12.419,  30.504,  42.208,  11.724, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:51:956, 197898171253837,    1.310,   31.000, 4100,  32.400,  48.280,  13.411,  30.183,  45.536,  12.649, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:52:066, 197898445421134,    1.420,   32.000, 4100,  28.300,  51.388,  14.275,  26.176,  48.411,  13.448, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:52:191, 197898757894887,    1.545,   29.000, 3600,  26.737,  54.736,  15.204,  24.527,  51.482,  14.301, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:52:330, 197899106150645,    1.685,   34.000, 4100,  29.106,  58.797,  16.332,  27.002,  55.249,  15.347, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:52:452, 197899409929575,    1.807,   34.000, 4100,  39.871,  63.649,  17.680,  37.537,  59.818,  16.616, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:52:575, 197899716601335,    1.929,   40.000, 4100,  33.437,  67.758,  18.822,  31.218,  63.654,  17.682, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:52:684, 197899989690973,    2.039,   35.000, 3300,  46.945,  72.894,  20.248,  44.796,  68.555,  19.043, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:52:808, 197900299654381,    2.163,   35.000, 4100,  42.297,  78.146,  21.707,  40.095,  73.534,  20.426, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:52:917, 197900570665177,    2.272,   34.000, 4100,  33.844,  81.821,  22.728,  31.634,  76.969,  21.380, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:53:041, 197900880280596,    2.396,   30.000, 4100,  43.537,  87.222,  24.228,  41.573,  82.125,  22.813, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:53:151, 197901155136317,    2.506,   26.000, 4100,  26.153,  90.102,  25.028,  27.042,  85.103,  23.640, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:53:260, 197901426489903,    2.615,   16.000, 4100,  25.857,  92.913,  25.809,  21.086,  87.396,  24.277, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:53:368, 197901695468550,    2.722,   14.000, 4100,  23.163,  95.409,  26.502,  22.366,  89.806,  24.946, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:53:476, 197901966106940,    2.831,   15.000, 4100,  21.696,  97.761,  27.156,  18.920,  91.857,  25.516, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:53:583, 197902232132086,    2.937,   16.000, 4100,  25.599, 100.490,  27.914,  23.734,  94.387,  26.219, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:53:692, 197902504195630,    3.046,   18.000, 4100,  38.720, 104.710,  29.086,  36.922,  98.411,  27.337, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:53:800, 197902774421320,    3.155,   16.000, 4100,  23.867, 107.294,  29.804,  24.209, 101.032,  28.065, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:53:908, 197903045146763,    3.263,   19.000, 4100,  35.577, 111.153,  30.876,  31.542, 104.454,  29.015, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:54:017, 197903316807556,    3.372,   30.000, 4100,  26.120, 113.996,  31.665,  23.980, 107.064,  29.740, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:54:125, 197903585521400,    3.480,   16.000, 4100,  17.881, 115.921,  32.200,  16.189, 108.806,  30.224, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:54:234, 197903856993186,    3.588,   13.000, 4100,  27.641, 118.927,  33.035,  25.945, 111.628,  31.008, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:54:342, 197904126521341,    3.696,   13.000, 4100,  34.634, 122.667,  34.074,  32.828, 115.173,  31.993, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:54:449, 197904395288955,    3.804,   13.000, 4100,  30.156, 125.914,  34.976,  28.371, 118.228,  32.841, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:54:557, 197904664155176,    3.912,   13.000, 4100,  14.353, 127.460,  35.406,  12.624, 119.588,  33.219, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:54:665, 197904932693097,    4.019,   12.000, 4100,  26.185, 130.277,  36.188,  24.483, 122.222,  33.951, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:54:775, 197905208498286,    4.130,   12.000, 4100,  25.055, 133.046,  36.957,  24.479, 124.927,  34.702, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:54:884, 197905479637713,    4.238,   13.000, 4100,  26.315, 135.904,  37.751,  23.266, 127.454,  35.404, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:54:991, 197905747945178,    4.346,   15.000, 4100,  23.840, 138.467,  38.463,  22.105, 129.831,  36.064, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:55:100, 197906020114113,    4.455,   26.000, 4100,  30.230, 141.764,  39.379,  28.112, 132.896,  36.916, 41,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:55:209, 197906290408110,    4.563,   21.000, 4100,  39.534, 146.045,  40.568,  39.940, 137.221,  38.117, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:55:319, 197906564662615,    4.673,   22.000, 3900,  33.751, 149.753,  41.598,  29.633, 140.477,  39.021, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:55:426, 197906832698063,    4.780,   21.000, 4100,  36.798, 153.705,  42.696,  35.014, 144.237,  40.066, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:55:535, 197907105851319,    4.890,   23.000, 4100,  31.938, 157.200,  43.667,  29.886, 147.508,  40.974, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:55:645, 197907378624038,    4.999,   21.000, 4100,  32.900, 160.795,  44.665,  31.204, 150.918,  41.922, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:55:754, 197907651184437,    5.108,   20.000, 4100,  30.593, 164.136,  45.593,  28.797, 154.062,  42.795, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:55:756, 197907657983287,    5.111,   18.000, 1900,   7.865, 164.157,  45.599,   0.000, 154.062,  42.795, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 5.111107
Measured RDTSC Frequency (GHz) = 2.496

Cumulative Processor Energy_0 (Joules) = 164.157471
Cumulative Processor Energy_0 (mWh) = 45.599297
Average Processor Power_0 (Watt) = 32.117792

Cumulative IA Energy_0 (Joules) = 154.062378
Cumulative IA Energy_0 (mWh) = 42.795105
Average IA Power_0 (Watt) = 30.142664

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000
