System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
16:39:02:098, 197923486387492,    0.105,   33.000, 4100,  36.321,   3.804,   1.057,  33.704,   3.530,   0.981, 45,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:02:223, 197923796959602,    0.229,   35.000, 4100,  38.934,   8.649,   2.402,  37.090,   8.145,   2.263, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:02:346, 197924103997047,    0.352,   31.000, 4100,  25.318,  11.763,   3.268,  23.174,  10.996,   3.054, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:02:469, 197924412411856,    0.476,   31.000, 4100,  35.553,  16.156,   4.488,  33.420,  15.125,   4.201, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:02:578, 197924683984686,    0.585,   31.000, 4100,  32.701,  19.714,   5.476,  30.528,  18.447,   5.124, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:02:685, 197924950874279,    0.691,   26.000, 2500,  35.328,  23.492,   6.525,  33.150,  21.991,   6.109, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:02:841, 197925340309532,    0.847,   42.000, 3400,  47.718,  30.937,   8.594,  45.601,  29.106,   8.085, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:02:965, 197925649347677,    0.971,   33.000, 4100,  38.277,  35.676,   9.910,  36.033,  33.568,   9.324, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:03:073, 197925921325284,    1.080,   30.000, 4100,  34.705,  39.458,  10.960,  32.555,  37.115,  10.310, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:03:196, 197926228026712,    1.203,   30.000, 4100,  21.770,  42.133,  11.703,  19.615,  39.525,  10.979, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:03:320, 197926536957939,    1.327,   28.000, 4100,  31.019,  45.972,  12.770,  29.032,  43.119,  11.977, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:03:445, 197926847759312,    1.451,   32.000, 4100,  33.166,  50.102,  13.917,  30.889,  46.965,  13.046, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:03:552, 197927115777385,    1.559,   22.000, 4100,  43.163,  54.736,  15.205,  40.932,  51.360,  14.267, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:03:737, 197927576589915,    1.743,   44.000, 4100,  39.955,  62.113,  17.254,  37.859,  58.350,  16.208, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:03:844, 197927845163719,    1.851,   31.000, 4100,  40.668,  66.489,  18.469,  38.446,  62.486,  17.357, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:03:953, 197928117401770,    1.960,   32.000, 4100,  41.002,  70.961,  19.711,  38.717,  66.709,  18.530, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:04:077, 197928426289961,    2.084,   38.000, 4100,  33.619,  75.121,  20.867,  31.396,  70.595,  19.610, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:04:184, 197928693307782,    2.191,   23.000, 4100,  35.698,  78.940,  21.928,  37.529,  74.609,  20.725, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:04:294, 197928968387314,    2.301,   31.000, 4100,  33.346,  82.615,  22.949,  27.747,  77.667,  21.574, 41,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
