System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
20:04:49:302, 190180494546525,    0.107,   36.000, 4100,  47.349,   5.081,   1.411,  45.280,   4.859,   1.350, 43,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:04:49:411, 190180766195887,    0.216,   34.000, 4100,  48.522,  10.362,   2.878,  46.447,   9.914,   2.754, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:04:49:520, 190181037895674,    0.325,   30.000, 4100,  50.692,  15.880,   4.411,  48.603,  15.205,   4.224, 42,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:04:49:629, 190181309971238,    0.434,   46.000, 3300,  39.188,  20.152,   5.598,  44.434,  20.048,   5.569, 45,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:04:49:739, 190181584375477,    0.544,   53.000, 4100,  54.927,  26.190,   7.275,  45.258,  25.024,   6.951, 41,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:04:49:848, 190181856503027,    0.653,   45.000, 4100,  44.176,  31.007,   8.613,  41.889,  29.591,   8.220, 43,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:04:50:004, 190182246870242,    0.809,   74.000, 4100,  61.561,  40.635,  11.287,  60.528,  39.057,  10.849, 44,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:04:50:160, 190182635827136,    0.965,   65.000, 4100,  44.294,  47.537,  13.205,  40.538,  45.374,  12.604, 41,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:04:50:268, 190182904764798,    1.073,   35.000, 2000,  43.210,  52.193,  14.498,  41.268,  49.821,  13.839, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:04:50:377, 190183177725414,    1.182,   38.000, 4100,  38.506,  56.404,  15.668,  36.266,  53.787,  14.941, 41,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:04:50:485, 190183446914201,    1.290,   40.000, 4100,  42.554,  60.993,  16.943,  43.761,  58.506,  16.252, 43,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
