System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
16:38:44:565, 197879724802149,    0.104,   20.000, 3300,  37.328,   3.901,   1.083,  35.519,   3.712,   1.031, 42,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:44:690, 197880034731339,    0.229,   50.000, 4100,  54.792,  10.704,   2.973,  52.758,  10.263,   2.851, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:44:798, 197880306454389,    0.338,   13.000, 4100,  20.816,  12.970,   3.603,  19.182,  12.351,   3.431, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:44:907, 197880576297440,    0.446,   16.000, 4100,  24.783,  15.650,   4.347,  22.847,  14.821,   4.117, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:45:015, 197880847204293,    0.554,   31.000, 4100,  20.807,  17.908,   4.974,  18.759,  16.857,   4.682, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:45:138, 197881153220927,    0.677,   16.000, 4100,  28.234,  21.369,   5.936,  26.622,  20.121,   5.589, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:45:244, 197881420184858,    0.784,   13.000, 4100,  22.501,  23.776,   6.604,  20.415,  22.304,   6.196, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:45:352, 197881688510010,    0.891,   18.000, 4100,  24.167,  26.374,   7.326,  22.613,  24.735,   6.871, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:45:461, 197881959873303,    1.000,   23.000, 3500,  27.337,  29.346,   8.152,  25.276,  27.483,   7.634, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:45:583, 197882263754450,    1.122,   78.000, 4100,  77.090,  38.732,  10.759,  74.476,  36.550,  10.153, 44,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:45:721, 197882609748358,    1.260,   17.000, 4100,  27.516,  42.546,  11.818,  25.991,  40.153,  11.154, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:45:830, 197882881439915,    1.369,   21.000, 4100,  25.090,  45.277,  12.577,  22.919,  42.648,  11.847, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:45:941, 197883157952825,    1.480,   24.000, 4100,  30.585,  48.665,  13.518,  28.611,  45.818,  12.727, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:46:079, 197883502172595,    1.618,   30.000, 4100,  20.065,  51.432,  14.287,  17.989,  48.298,  13.416, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:46:219, 197883853206951,    1.759,   33.000, 1400,  31.713,  55.892,  15.526,  29.651,  52.468,  14.575, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:46:327, 197884120723666,    1.866,   33.000, 4100,  35.566,  59.704,  16.585,  33.358,  56.044,  15.568, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:46:436, 197884393569762,    1.975,   36.000, 1900,  35.258,  63.558,  17.655,  33.219,  59.675,  16.576, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:46:542, 197884659488591,    2.082,   29.000, 4100,  41.581,  67.988,  18.886,  39.318,  63.864,  17.740, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:46:666, 197884968637245,    2.205,   29.000, 4100,  36.253,  72.479,  20.133,  34.119,  68.090,  18.914, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:46:789, 197885274892973,    2.328,   27.000, 4100,  26.204,  75.694,  21.026,  24.086,  71.045,  19.735, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:46:915, 197885588564068,    2.454,   32.000, 4100,  35.929,  80.209,  22.280,  33.771,  75.289,  20.914, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:47:023, 197885860073630,    2.563,   33.000, 4100,  38.247,  84.369,  23.436,  35.949,  79.199,  22.000, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:47:162, 197886206907148,    2.701,   35.000, 4100,  32.352,  88.865,  24.685,  30.323,  83.413,  23.170, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:47:271, 197886479376317,    2.811,   28.000, 4100,  29.291,  92.062,  25.573,  30.809,  86.776,  24.104, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:47:380, 197886750269470,    2.919,   28.000, 4100,  36.211,  95.992,  26.665,  30.346,  90.070,  25.019, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:47:503, 197887058069986,    3.043,   21.000, 4100,  26.571,  99.269,  27.575,  26.014,  93.278,  25.910, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:47:612, 197887330594064,    3.152,   20.000, 4100,  23.909, 101.880,  28.300,  20.399,  95.505,  26.529, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:47:722, 197887603396340,    3.261,   17.000, 4100,  22.825, 104.374,  28.993,  20.949,  97.795,  27.165, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:47:830, 197887873502431,    3.369,   13.000, 4100,  24.187, 106.992,  29.720,  22.346, 100.213,  27.837, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:47:939, 197888145776202,    3.478,   20.000, 4100,  29.757, 110.238,  30.622,  27.921, 103.259,  28.683, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:48:048, 197888417486178,    3.587,   27.000, 4100,  34.100, 113.950,  31.653,  32.018, 106.744,  29.651, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:48:156, 197888687460037,    3.695,   21.000, 4100,  27.362, 116.909,  32.475,  25.485, 109.500,  30.417, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:48:265, 197888959974735,    3.804,   18.000, 4100,  29.217, 120.099,  33.361,  27.307, 112.482,  31.245, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:48:374, 197889229982600,    3.913,   12.000, 4100,  29.967, 123.341,  34.261,  28.176, 115.530,  32.092, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:48:482, 197889501252275,    4.021,   11.000, 4100,  25.099, 126.069,  35.019,  23.585, 118.093,  32.804, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:48:591, 197889772859959,    4.130,   10.000, 4100,  14.613, 127.659,  35.461,  12.776, 119.483,  33.190, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:48:699, 197890042208135,    4.238,   10.000, 4100,  18.695, 129.676,  36.021,  17.019, 121.320,  33.700, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:48:807, 197890311467649,    4.346,   12.000, 4100,  19.444, 131.774,  36.604,  17.567, 123.215,  34.226, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:48:917, 197890586016473,    4.456,   17.000, 4100,  35.108, 135.636,  37.677,  33.327, 126.881,  35.245, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:49:025, 197890855775224,    4.564,   16.000, 4100,  26.853, 138.538,  38.483,  25.144, 129.598,  36.000, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:49:134, 197891127524398,    4.673,   15.000, 4100,  25.064, 141.267,  39.241,  23.201, 132.124,  36.701, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:49:245, 197891405202036,    4.784,   17.000, 4100,  26.216, 144.183,  40.051,  24.348, 134.833,  37.454, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:49:354, 197891677161448,    4.893,   16.000, 4100,  22.699, 146.656,  40.738,  20.931, 137.114,  38.087, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:49:462, 197891948126345,    5.002,   17.000, 4100,  20.959, 148.932,  41.370,  19.224, 139.201,  38.667, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:49:467, 197891959971480,    5.006,   48.000, 4100,  30.070, 149.074,  41.410,  26.597, 139.327,  38.702, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 5.006403
Measured RDTSC Frequency (GHz) = 2.496

Cumulative Processor Energy_0 (Joules) = 149.074463
Cumulative Processor Energy_0 (mWh) = 41.409573
Average Processor Power_0 (Watt) = 29.776762

Cumulative IA Energy_0 (Joules) = 139.326721
Cumulative IA Energy_0 (mWh) = 38.701867
Average IA Power_0 (Watt) = 27.829707

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000
