System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
23:19:33:633, 257903730919021,    0.116,   26.000, 3300,  27.282,   3.155,   0.876,  25.319,   2.928,   0.813, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:34:100, 257904895026161,    0.582,   32.000, 3300,  20.396,  12.667,   3.519,  18.532,  11.571,   3.214, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:34:549, 257906015238458,    1.031,   33.000, 3300,  28.000,  25.234,   7.009,  26.084,  23.277,   6.466, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:35:078, 257907336241579,    1.560,   41.000, 3300,  26.209,  39.105,  10.862,  24.387,  36.184,  10.051, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:35:298, 257907885120103,    1.780,   41.000, 3300,  25.701,  44.756,  12.432,  23.716,  41.399,  11.500, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:35:431, 257908217635813,    1.913,   31.000, 3300,  21.781,  47.658,  13.238,  21.098,  44.210,  12.280, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:35:561, 257908541919660,    2.043,   40.000, 3300,  35.164,  52.227,  14.507,  31.800,  48.341,  13.428, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:35:687, 257908856989200,    2.169,   34.000, 3300,  31.725,  56.231,  15.620,  32.547,  52.450,  14.569, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:35:991, 257909617716953,    2.474,   28.000, 3300,  25.568,  64.024,  17.784,  22.429,  59.285,  16.468, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:36:186, 257910103556059,    2.669,   42.000, 3300,  28.534,  69.578,  19.327,  26.439,  64.432,  17.898, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:36:381, 257910590672074,    2.864,   32.000, 3300,  23.322,  74.130,  20.592,  21.441,  68.616,  19.060, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:36:532, 257910965084239,    3.014,   27.000, 3300,  23.113,  77.597,  21.555,  21.172,  71.792,  19.942, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:36:772, 257911564676581,    3.254,   27.000, 3300,  34.114,  85.792,  23.831,  32.083,  79.499,  22.083, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:37:220, 257912682962613,    3.702,   45.000, 3300,  23.148,  96.163,  26.712,  21.188,  88.992,  24.720, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:37:429, 257913204716823,    3.911,   28.000, 3300,  20.605, 100.470,  27.908,  18.545,  92.868,  25.797, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:37:739, 257913979988146,    4.222,   40.000, 3300,  31.494, 110.252,  30.626,  29.489, 102.028,  28.341, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:37:981, 257914583819910,    4.464,   27.000, 3300,  21.994, 115.573,  32.104,  19.888, 106.839,  29.678, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:38:312, 257915408901349,    4.794,   40.000, 3300,  22.631, 123.054,  34.182,  20.620, 113.655,  31.571, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:38:501, 257915880209802,    4.983,   36.000, 3300,  23.423, 127.477,  35.410,  21.319, 117.681,  32.689, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:38:683, 257916336906429,    5.166,   31.000, 3300,  22.895, 131.666,  36.574,  20.893, 121.504,  33.751, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:19:38:722, 257916433020062,    5.205,   33.000, 3300,  24.108, 132.594,  36.832,  22.075, 122.354,  33.987, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 5.204607
Measured RDTSC Frequency (GHz) = 2.496

Cumulative Processor Energy_0 (Joules) = 132.594055
Cumulative Processor Energy_0 (mWh) = 36.831682
Average Processor Power_0 (Watt) = 25.476287

Cumulative IA Energy_0 (Joules) = 122.353760
Cumulative IA Energy_0 (mWh) = 33.987155
Average IA Power_0 (Watt) = 23.508743

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000
