System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
23:33:40:521, 260017522288249,    0.124,   27.000, 3300,  29.646,   3.679,   1.022,  27.858,   3.457,   0.960, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:33:40:765, 260018131979739,    0.368,   33.000, 3300,  25.530,   9.915,   2.754,  23.576,   9.216,   2.560, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:33:41:010, 260018744633489,    0.614,   30.000, 3300,  33.033,  18.023,   5.007,  31.049,  16.837,   4.677, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:33:41:445, 260019827469473,    1.048,   36.000, 3300,  27.817,  30.091,   8.359,  25.886,  28.068,   7.797, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:33:41:911, 260020991577855,    1.514,   84.000, 3300,  34.960,  46.396,  12.888,  32.800,  43.365,  12.046, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:33:42:096, 260021456211653,    1.700,   38.000, 3300,  42.042,  54.222,  15.062,  39.840,  50.781,  14.106, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:33:42:366, 260022129037873,    1.970,   42.000, 3300,  34.551,  63.536,  17.649,  32.385,  59.511,  16.531, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:33:42:525, 260022523832647,    2.128,   34.000, 3300,  29.116,  68.141,  18.928,  27.160,  63.807,  17.724, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:33:42:658, 260022855667739,    2.261,   39.000, 3300,  32.624,  72.479,  20.133,  30.438,  67.854,  18.848, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
23:33:42:819, 260023258225604,    2.422,   34.000, 3300,  36.694,  78.397,  21.777,  34.727,  73.454,  20.404, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
