System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
20:16:15:602, 230454987654451,    0.290,   58.000, 4100,  57.656,  16.731,   4.648,  55.316,  16.052,   4.459, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:15:740, 230455331644998,    0.428,   31.000, 4100,  37.164,  21.853,   6.070,  35.144,  20.895,   5.804, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:15:880, 230455682441884,    0.569,   41.000, 4100,  41.851,  27.735,   7.704,  39.619,  26.464,   7.351, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:16:005, 230455993725362,    0.693,   39.000, 4100,  43.174,  33.119,   9.200,  41.520,  31.642,   8.789, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:16:129, 230456303902071,    0.818,   35.000, 4100,  41.443,  38.269,  10.630,  38.612,  36.440,  10.122, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:16:362, 230456883897446,    1.050,   37.000, 4100,  41.139,  47.829,  13.286,  38.879,  45.474,  12.632, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:16:564, 230457388298860,    1.252,   40.000, 4100,  40.294,  55.972,  15.548,  38.231,  53.200,  14.778, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:16:811, 230458006025127,    1.499,   25.000, 3300,  30.030,  63.404,  17.612,  28.166,  60.171,  16.714, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:17:059, 230458623717203,    1.747,   33.000, 4100,  27.941,  70.318,  19.533,  26.047,  66.617,  18.505, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:17:184, 230458935512090,    1.872,   28.000, 4100,  31.756,  74.285,  20.635,  29.772,  70.336,  19.538, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:17:309, 230459246715295,    1.997,   22.000, 4100,  31.703,  78.238,  21.733,  29.958,  74.071,  20.575, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:17:417, 230459518162789,    2.105,   20.000, 4100,  26.538,  81.124,  22.534,  24.715,  76.759,  21.322, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:17:526, 230459789576160,    2.214,   16.000, 4100,  24.237,  83.760,  23.267,  22.286,  79.182,  21.995, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:17:744, 230460333380535,    2.432,   29.000, 4100,  30.929,  90.498,  25.138,  29.230,  85.551,  23.764, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:17:852, 230460601485079,    2.539,   21.000, 4100,  36.354,  94.403,  26.223,  34.485,  89.255,  24.793, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:17:960, 230460872430423,    2.648,   29.000, 4100,  34.412,  98.138,  27.261,  32.477,  92.780,  25.772, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:18:069, 230461144880399,    2.757,   22.000, 4100,  30.685, 101.488,  28.191,  30.461,  96.105,  26.696, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:18:179, 230461417839365,    2.866,   23.000, 4100,  36.258, 105.453,  29.292,  32.770,  99.689,  27.691, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:16:18:286, 230461685478744,    2.974,   20.000, 4100,  25.752, 108.214,  30.060,  26.349, 102.514,  28.476, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
