System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
20:17:29:788, 230640108457149,    0.121,   24.000, 4100,  44.342,   5.381,   1.495,  42.334,   5.138,   1.427, 43,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:30:020, 230640686867680,    0.353,   45.000, 4100,  41.780,  15.063,   4.184,  39.664,  14.329,   3.980, 44,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:30:205, 230641149122971,    0.538,   51.000, 4100,  44.415,  23.289,   6.469,  42.340,  22.170,   6.158, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:30:314, 230641421698586,    0.647,   18.000, 4100,  32.580,  26.847,   7.457,  30.814,  25.535,   7.093, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:30:438, 230641731259617,    0.772,   20.000, 3700,  28.546,  30.387,   8.441,  26.711,  28.848,   8.013, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:30:560, 230642036226919,    0.894,   28.000, 4100,  34.669,  34.623,   9.617,  32.639,  32.836,   9.121, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:30:668, 230642303830951,    1.001,   19.000, 4100,  39.976,  38.909,  10.808,  38.184,  36.930,  10.258, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:30:776, 230642575474896,    1.110,   18.000, 4100,  31.041,  42.287,  11.746,  29.242,  40.112,  11.142, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:30:885, 230642846306519,    1.218,   18.000, 4100,  31.414,  45.696,  12.693,  29.633,  43.328,  12.035, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:30:993, 230643117092528,    1.327,   27.000, 4100,  36.536,  49.659,  13.794,  38.309,  47.484,  13.190, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:31:118, 230643427942804,    1.451,   35.000, 4100,  38.948,  54.510,  15.142,  33.561,  51.663,  14.351, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:31:241, 230643735904657,    1.575,   54.000, 4100,  55.039,  61.301,  17.028,  56.624,  58.650,  16.292, 42,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:31:382, 230644086222731,    1.715,   27.000, 4100,  42.857,  67.316,  18.699,  37.780,  63.952,  17.765, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:31:490, 230644357012550,    1.824,   32.000, 4100,  40.943,  71.758,  19.933,  38.789,  68.161,  18.933, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:31:599, 230644629344728,    1.933,   33.000, 4100,  45.493,  76.721,  21.312,  43.334,  72.889,  20.247, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:31:723, 230644937391405,    2.056,   26.000, 4100,  41.303,  81.819,  22.727,  39.257,  77.734,  21.593, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:31:847, 230645247258460,    2.180,   35.000, 4100,  48.073,  87.787,  24.385,  45.929,  83.435,  23.177, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:31:985, 230645591957495,    2.318,   32.000, 4100,  31.668,  92.160,  25.600,  32.859,  87.973,  24.437, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:32:107, 230645894896175,    2.440,   33.000, 4100,  42.815,  97.357,  27.044,  37.262,  92.496,  25.693, 42,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:32:230, 230646203211712,    2.563,   32.000, 4100,  47.062, 103.170,  28.658,  45.158,  98.074,  27.243, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:32:368, 230646547638671,    2.701,   29.000, 4100,  32.601, 107.669,  29.908,  30.831, 102.328,  28.425, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:32:493, 230646858179474,    2.826,   34.000, 4100,  45.197, 113.292,  31.470,  43.138, 107.695,  29.915, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:32:603, 230647133634767,    2.936,   42.000, 4100,  40.814, 117.796,  32.721,  38.434, 111.937,  31.094, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:32:740, 230647476615369,    3.073,   36.000, 4100,  50.493, 124.734,  34.648,  48.507, 118.602,  32.945, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:32:849, 230647746256555,    3.181,   35.000, 4100,  38.223, 128.863,  35.795,  36.040, 122.496,  34.027, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:32:973, 230648056148481,    3.306,   36.000, 4100,  43.730, 134.293,  37.304,  41.502, 127.648,  35.458, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
