System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:16:32:449, 6526925885795,    0.108,   38.000, 4100,  51.814,   5.595,   1.554,  49.526,   5.348,   1.485, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:32:619, 6527351833368,    0.279,   37.000, 4100,  43.075,  12.945,   3.596,  41.050,  12.353,   3.431, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:32:743, 6527659697075,    0.402,   35.000, 4100,  38.555,  17.701,   4.917,  36.303,  16.831,   4.675, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:32:881, 6528005102988,    0.540,   37.000, 4100,  52.535,  24.971,   6.936,  50.353,  23.799,   6.611, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:33:053, 6528433870604,    0.712,   39.000, 4100,  36.689,  31.273,   8.687,  34.515,  29.728,   8.258, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:33:221, 6528854874661,    0.881,   27.000, 4100,  27.330,  35.883,   9.967,  25.389,  34.010,   9.447, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:33:361, 6529204575369,    1.021,   13.000, 4100,  23.658,  39.198,  10.888,  21.951,  37.086,  10.302, 32,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:33:471, 6529477058953,    1.130,   12.000, 4100,  25.967,  42.032,  11.676,  24.109,  39.717,  11.033, 31,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:33:611, 6529828292858,    1.271,   23.000, 4100,  23.306,  45.312,  12.587,  21.569,  42.753,  11.876, 33,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:33:721, 6530103249329,    1.381,    9.000, 4100,  21.312,  47.660,  13.239,  19.589,  44.910,  12.475, 29,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:33:831, 6530375915056,    1.490,   12.000, 4100,  23.341,  50.209,  13.947,  21.461,  47.255,  13.126, 33,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:33:971, 6530727168130,    1.631,   14.000, 4100,  28.475,  54.217,  15.060,  26.844,  51.033,  14.176, 29,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:34:081, 6530999160632,    1.740,   18.000, 4100,  19.337,  56.324,  15.645,  17.343,  52.922,  14.701, 30,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:34:188, 6531267760226,    1.848,   12.000, 4100,  26.344,  59.159,  16.433,  24.668,  55.577,  15.438, 29,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:34:297, 6531540095446,    1.957,    9.000, 4100,  24.140,  61.793,  17.165,  22.458,  58.027,  16.119, 31,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:34:407, 6531813729348,    2.066,    8.000, 4100,  26.093,  64.653,  17.959,  24.399,  60.702,  16.862, 29,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:34:516, 6532086528043,    2.176,    8.000, 4100,  17.802,  66.599,  18.500,  16.165,  62.469,  17.352, 29,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:34:625, 6532357289390,    2.284,   14.000, 4100,  22.203,  69.007,  19.169,  20.424,  64.685,  17.968, 28,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:34:733, 6532627282801,    2.392,    9.000, 4100,  17.605,  70.912,  19.698,  15.924,  66.407,  18.446, 29,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:34:843, 6532902167193,    2.502,    9.000, 4100,  16.208,  72.697,  20.193,  14.628,  68.018,  18.894, 30,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:34:951, 6533171155924,    2.610,   22.000, 4100,  30.619,  75.996,  21.110,  28.593,  71.099,  19.750, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:35:058, 6533439612079,    2.718,   18.000, 4100,  28.499,  79.062,  21.962,  30.319,  74.360,  20.656, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:35:181, 6533746474543,    2.841,   17.000, 4100,  37.810,  83.710,  23.253,  32.742,  78.386,  21.774, 33,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:35:306, 6534058272889,    2.966,   25.000, 4100,  26.872,  87.067,  24.185,  25.842,  81.614,  22.670, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:35:447, 6534409445996,    3.106,   20.000, 4100,  30.252,  91.323,  25.368,  27.639,  85.502,  23.751, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:35:557, 6534685249138,    3.217,   17.000, 4100,  33.732,  95.050,  26.403,  31.817,  89.018,  24.727, 34,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
13:16:35:683, 6534998782067,    3.342,   23.000, 4100,  29.285,  98.729,  27.425,  27.489,  92.471,  25.686, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
