System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
19:13:40:591, 164404545344985,    0.105,    6.000, 2200,   7.037,   0.741,   0.206,   5.887,   0.620,   0.172, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:40:709, 164404841408641,    0.224,    7.000,  500,   4.765,   1.306,   0.363,   3.471,   1.031,   0.286, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:40:820, 164405118350090,    0.335,    8.000,  800,   2.889,   1.627,   0.452,   1.651,   1.215,   0.337, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:40:932, 164405396083032,    0.446,    4.000, 3700,   9.776,   2.714,   0.754,   8.193,   2.126,   0.591, 29,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:41:043, 164405675055133,    0.558,    9.000,  500,   4.011,   3.163,   0.878,   2.773,   2.436,   0.677, 28,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:41:154, 164405951034816,    0.668,    8.000, 1900,   3.703,   3.572,   0.992,   2.471,   2.709,   0.753, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:41:265, 164406227517055,    0.779,    6.000, 1100,   2.907,   3.894,   1.082,   1.748,   2.903,   0.806, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:41:375, 164406503733177,    0.890,   11.000, 2600,   9.431,   4.938,   1.372,   7.832,   3.770,   1.047, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:41:487, 164406783705446,    1.002,    6.000,  400,   5.691,   5.576,   1.549,   4.458,   4.270,   1.186, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:41:598, 164407061773198,    1.113,    8.000,  400,   3.122,   5.924,   1.646,   1.934,   4.485,   1.246, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:41:714, 164407350488655,    1.229,    9.000,  500,   3.176,   6.291,   1.748,   1.878,   4.703,   1.306, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:41:826, 164407628357187,    1.340,    6.000,  500,   3.577,   6.689,   1.858,   2.371,   4.966,   1.380, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:41:937, 164407907819308,    1.452,    7.000,  600,   2.794,   7.002,   1.945,   1.619,   5.148,   1.430, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:42:048, 164408182715578,    1.563,    9.000,  600,   3.797,   7.420,   2.061,   2.597,   5.434,   1.509, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:42:158, 164408459058422,    1.673,    7.000,  400,   3.020,   7.755,   2.154,   1.860,   5.640,   1.567, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:42:269, 164408735144536,    1.784,   10.000,  400,   3.889,   8.185,   2.274,   2.656,   5.933,   1.648, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:42:381, 164409013155474,    1.895,   11.000, 4100,   5.567,   8.805,   2.446,   3.948,   6.373,   1.770, 29,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:42:492, 164409291686689,    2.007,    5.000,  700,   6.490,   9.529,   2.647,   5.442,   6.981,   1.939, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:42:604, 164409570704176,    2.119,   10.000,  500,   6.920,  10.303,   2.862,   5.413,   7.586,   2.107, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:42:720, 164409858976812,    2.234,    7.000,  600,   3.808,  10.742,   2.984,   2.428,   7.866,   2.185, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:42:831, 164410137820574,    2.346,    8.000,  400,   2.742,  11.049,   3.069,   1.564,   8.041,   2.234, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:42:942, 164410413597838,    2.456,   10.000,  700,   2.962,  11.376,   3.160,   1.709,   8.230,   2.286, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:43:085, 164410771610313,    2.600,   18.000,  600,  10.739,  12.916,   3.588,   9.209,   9.550,   2.653, 26,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:43:196, 164411049946531,    2.711,    7.000,  500,   2.816,  13.230,   3.675,   1.593,   9.728,   2.702, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:43:308, 164411326374151,    2.822,    7.000, 4100,   2.529,  13.510,   3.753,   1.171,   9.858,   2.738, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:43:419, 164411604985875,    2.934,    5.000,  500,   3.551,  13.907,   3.863,   2.557,  10.143,   2.818, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:43:529, 164411880796884,    3.044,    7.000,  600,   2.384,  14.170,   3.936,   1.216,  10.277,   2.855, 28,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:43:640, 164412156937763,    3.155,    8.000,  400,   3.092,  14.512,   4.031,   1.907,  10.488,   2.913, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
19:13:43:757, 164412449158759,    3.272,    7.000,  400,   3.012,  14.865,   4.129,   1.814,  10.701,   2.972, 27,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
