System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
16:38:55:691, 197907494629946,    0.115,   18.000, 4100,  29.071,   3.334,   0.926,  27.179,   3.117,   0.866, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:55:801, 197907768834997,    0.225,   26.000, 4100,  28.641,   6.481,   1.800,  26.784,   6.060,   1.683, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:55:925, 197908079977552,    0.349,   38.000, 4100,  32.035,  10.474,   2.909,  29.870,   9.783,   2.718, 43,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:56:035, 197908352414306,    0.458,   85.000, 4100,  55.040,  16.482,   4.578,  53.025,  15.571,   4.325, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:56:158, 197908661232449,    0.582,   90.000, 4100,  64.174,  24.422,   6.784,  61.292,  23.154,   6.432, 45,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:56:267, 197908931580854,    0.690,   84.000, 4100,  63.495,  31.299,   8.694,  60.866,  29.747,   8.263, 45,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:56:391, 197909240820401,    0.814,   81.000, 4100,  81.026,  41.338,  11.483,  78.151,  39.429,  10.953, 48,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:56:529, 197909586305381,    0.953,   99.000, 3300,  68.072,  50.760,  14.100,  65.407,  48.483,  13.467, 46,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:56:653, 197909896487430,    1.077,   92.000, 4100,  73.557,  59.901,  16.639,  70.967,  57.302,  15.917, 48,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:56:764, 197910171443839,    1.187,   61.000, 4100,  47.206,  65.101,  18.084,  45.690,  62.335,  17.315, 49,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:56:891, 197910489787627,    1.315,   46.000, 3300,  46.636,  71.049,  19.736,  44.513,  68.012,  18.892, 45,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:57:026, 197910827826820,    1.450,   98.000, 3300,  91.243,  83.406,  23.168,  88.568,  80.007,  22.224, 48,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:57:149, 197911134783238,    1.573,   97.000, 4100,  81.227,  93.396,  25.943,  78.899,  89.710,  24.920, 46,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:57:274, 197911444861131,    1.697,   97.000, 3300, 102.024, 106.070,  29.464,  99.517, 102.073,  28.354, 50,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:57:382, 197911714965932,    1.806,   90.000, 4100,  85.230, 115.293,  32.026,  83.004, 111.056,  30.849, 50,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:57:492, 197911988538434,    1.915,   89.000, 4100,  80.261, 124.090,  34.469,  78.033, 119.608,  33.225, 48,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:57:600, 197912259805304,    2.024,   50.000, 4100,  48.201, 129.329,  35.925,  46.538, 124.666,  34.629, 41,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:57:708, 197912528107516,    2.131,   21.000, 4100,  30.473, 132.604,  36.835,  28.464, 127.726,  35.479, 42,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:57:816, 197912799427377,    2.240,   53.000, 4100,  39.163, 136.861,  38.017,  36.960, 131.743,  36.595, 45,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:57:926, 197913073200350,    2.350,   80.000, 4100,  80.223, 145.661,  40.461,  78.697, 140.375,  38.993, 50,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:58:034, 197913342238287,    2.457,   77.000, 4100,  81.345, 154.429,  42.897,  78.193, 148.804,  41.334, 50,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:58:157, 197913650769217,    2.581,   90.000, 4100,  63.820, 162.317,  45.088,  61.289, 156.379,  43.439, 50,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:58:280, 197913957098548,    2.704,   96.000, 4100,  83.681, 172.587,  47.941,  81.405, 166.370,  46.214, 50,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:58:388, 197914225608088,    2.811,   85.000, 4100,  44.067, 177.328,  49.258,  41.864, 170.874,  47.465, 49,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:58:497, 197914497487886,    2.920,   45.000, 4100,  56.989, 183.536,  50.982,  55.221, 176.889,  49.136, 44,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:58:605, 197914766702898,    3.028,   58.000, 4100,  54.707, 189.436,  52.621,  52.362, 182.536,  50.705, 46,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:58:710, 197915030431601,    3.134,   80.000, 3300,  67.847, 196.605,  54.612,  68.946, 189.821,  52.728, 50,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:58:818, 197915300586387,    3.242,   80.000, 4100,  65.151, 203.657,  56.571,  59.437, 196.254,  54.515, 50,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:58:927, 197915571862149,    3.351,   80.000, 4100,  64.863, 210.706,  58.529,  62.734, 203.073,  56.409, 50,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:59:036, 197915843673887,    3.460,   73.000, 4100,  58.432, 217.069,  60.297,  56.553, 209.231,  58.120, 49,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:59:174, 197916187073803,    3.597,   42.000, 4100,  48.737, 223.775,  62.160,  46.808, 215.671,  59.909, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:59:296, 197916493734102,    3.720,   26.000, 4100,  37.116, 228.335,  63.426,  35.036, 219.976,  61.104, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:59:420, 197916800957104,    3.843,   21.000, 4100,  31.182, 232.173,  64.492,  29.163, 223.565,  62.101, 41,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:59:543, 197917108004848,    3.966,   17.000, 4100,  29.004, 235.741,  65.484,  29.621, 227.209,  63.114, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:59:650, 197917376567592,    4.074,   14.000, 4100,  31.340, 239.113,  66.420,  26.828, 230.096,  63.915, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:59:760, 197917650057402,    4.183,   12.000, 4100,  24.048, 241.748,  67.152,  22.474, 232.558,  64.599, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:59:868, 197917919254245,    4.291,   12.000, 4100,  24.670, 244.409,  67.891,  22.738, 235.010,  65.281, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:38:59:978, 197918194091989,    4.401,   19.000, 4100,  35.790, 248.349,  68.986,  33.850, 238.738,  66.316, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:00:086, 197918465364766,    4.510,   36.000, 4100,  42.641, 252.984,  70.273,  40.641, 243.155,  67.543, 43,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
16:39:00:212, 197918778449050,    4.635,   35.000, 4100,  39.362, 257.921,  71.645,  37.169, 247.817,  68.838, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
