System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
20:17:06:137, 230581090908585,    0.108,   30.000, 4100,  24.843,   2.685,   0.746,  22.703,   2.454,   0.682, 45,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:06:464, 230581906611974,    0.435,   93.000, 4100,  47.914,  18.344,   5.096,  45.650,  17.373,   4.826, 41,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:06:587, 230582214221381,    0.558,   36.000, 4100,  40.375,  23.320,   6.478,  42.728,  22.639,   6.289, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:06:726, 230582561851326,    0.697,   39.000, 4100,  39.645,  28.841,   8.011,  33.320,  27.279,   7.578, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:06:867, 230582911576682,    0.838,   37.000, 4100,  44.410,  35.064,   9.740,  43.892,  33.429,   9.286, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:06:990, 230583220216000,    0.961,   38.000, 4100,  41.020,  40.136,  11.149,  37.031,  38.008,  10.558, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:07:114, 230583528722805,    1.085,   39.000, 4100,  41.242,  45.234,  12.565,  38.996,  42.828,  11.897, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:07:222, 230583797515454,    1.192,   46.000, 4100,  56.030,  51.267,  14.241,  53.530,  48.593,  13.498, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:07:358, 230584139189636,    1.329,   41.000, 4100,  29.944,  55.366,  15.380,  27.829,  52.402,  14.556, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:07:483, 230584450202724,    1.454,   35.000, 4100,  31.033,  59.233,  16.454,  32.548,  56.458,  15.683, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:07:594, 230584726023891,    1.564,   40.000, 4100,  43.337,  64.022,  17.784,  36.906,  60.536,  16.816, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:07:717, 230585034552602,    1.688,   37.000, 4100,  43.173,  69.359,  19.266,  41.006,  65.605,  18.224, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:07:826, 230585306326304,    1.797,   36.000, 4100,  43.090,  74.051,  20.570,  40.909,  70.059,  19.461, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:07:949, 230585612845353,    1.920,   32.000, 4100,  50.697,  80.276,  22.299,  48.510,  76.016,  21.116, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:08:089, 230585961201246,    2.059,   39.000, 4100,  37.399,  85.496,  23.749,  35.145,  80.922,  22.478, 40,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:08:259, 230586385538400,    2.229,   41.000, 3300,  37.983,  91.953,  25.543,  36.788,  87.176,  24.216, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:08:369, 230586661348124,    2.340,   18.000, 4100,  27.837,  95.029,  26.397,  24.764,  89.912,  24.976, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:08:478, 230586931797165,    2.448,   18.000, 4100,  29.473,  98.223,  27.284,  27.767,  92.921,  25.811, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:08:587, 230587204235771,    2.557,   28.000, 4100,  26.937, 101.163,  28.101,  24.897,  95.638,  26.566, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:08:712, 230587515447626,    2.682,   18.000, 4100,  31.953, 105.147,  29.208,  30.184,  99.402,  27.612, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:08:821, 230587788079050,    2.791,   22.000, 4100,  28.748, 108.287,  30.080,  26.944, 102.345,  28.429, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:08:959, 230588132063875,    2.929,   20.000, 4100,  28.041, 112.152,  31.153,  26.194, 105.955,  29.432, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:09:083, 230588441924246,    3.053,   23.000, 4100,  32.873, 116.233,  32.287,  31.011, 109.805,  30.501, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:09:191, 230588713315900,    3.162,   21.000, 3300,  49.374, 121.601,  33.778,  47.498, 114.969,  31.936, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:09:316, 230589023958839,    3.286,   18.000, 4100,  35.631, 126.036,  35.010,  34.004, 119.201,  33.111, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:09:424, 230589292862706,    3.394,   18.000, 4100,  26.998, 128.944,  35.818,  25.060, 121.901,  33.861, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:09:549, 230589605785122,    3.519,   20.000, 4100,  23.146, 131.846,  36.624,  21.221, 124.561,  34.600, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:09:657, 230589875346866,    3.627,   27.000, 4100,  26.091, 134.664,  37.407,  24.043, 127.158,  35.322, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:09:781, 230590184144461,    3.751,   19.000, 4100,  32.002, 138.623,  38.506,  30.590, 130.943,  36.373, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:09:890, 230590456640752,    3.860,   18.000, 4100,  30.595, 141.963,  39.434,  28.644, 134.070,  37.242, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:10:014, 230590766566142,    3.985,   19.000, 4100,  27.456, 145.372,  40.381,  25.588, 137.247,  38.124, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:10:122, 230591035435944,    4.092,   19.000, 4100,  27.662, 148.352,  41.209,  25.905, 140.038,  38.899, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:10:247, 230591348289955,    4.218,   22.000, 4100,  30.828, 152.216,  42.282,  28.997, 143.672,  39.909, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:10:357, 230591621633670,    4.327,   17.000, 4100,  26.877, 155.159,  43.100,  25.091, 146.420,  40.672, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:10:481, 230591930471288,    4.451,   25.000, 3300,  36.193, 159.638,  44.344,  34.315, 150.666,  41.852, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:10:588, 230592198486790,    4.558,   30.000, 4100,  35.782, 163.480,  45.411,  37.363, 154.678,  42.966, 39,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:10:712, 230592508565605,    4.682,   40.000, 4100,  56.689, 170.522,  47.367,  51.653, 161.094,  44.748, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:10:822, 230592780706829,    4.792,   20.000, 4100,  27.253, 173.494,  48.193,  25.428, 163.867,  45.519, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:10:946, 230593092034254,    4.916,   18.000, 4100,  34.110, 177.748,  49.375,  32.328, 167.899,  46.639, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:11:055, 230593362591992,    5.025,   20.000, 4100,  30.610, 181.066,  50.296,  28.781, 171.019,  47.505, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:17:11:067, 230593394385423,    5.037,   51.000, 3300,  24.260, 181.375,  50.382,  45.804, 171.602,  47.667, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 5.037367
Measured RDTSC Frequency (GHz) = 2.496

Cumulative Processor Energy_0 (Joules) = 181.375427
Cumulative Processor Energy_0 (mWh) = 50.382063
Average Processor Power_0 (Watt) = 36.005999

Cumulative IA Energy_0 (Joules) = 171.602356
Cumulative IA Energy_0 (mWh) = 47.667321
Average IA Power_0 (Watt) = 34.065884

Cumulative DRAM Energy_0 (Joules) = 0.000000
Cumulative DRAM Energy_0 (mWh) = 0.000000
Average DRAM Power_0 (Watt) = 0.000000
