System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
20:05:22:826, 190264149351728,    0.101,   14.000, 4100,  34.171,   3.457,   0.960,  27.024,   2.734,   0.759, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:22:934, 190264419381397,    0.209,   11.000, 4100,  22.566,   5.899,   1.639,  20.936,   4.999,   1.389, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:23:042, 190264690244095,    0.318,   26.000, 4100,  21.294,   8.209,   2.280,  19.120,   7.074,   1.965, 38,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:23:153, 190264966960992,    0.429,   26.000, 4100,  26.154,  11.109,   3.086,  24.286,   9.766,   2.713, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:23:278, 190265277411224,    0.553,   23.000, 4100,  32.030,  15.093,   4.192,  30.033,  13.502,   3.751, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:23:387, 190265550694595,    0.663,   14.000, 3500,  22.180,  17.521,   4.867,  20.462,  15.742,   4.373, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:23:497, 190265824203153,    0.772,   12.000, 4100,  24.968,  20.257,   5.627,  23.211,  18.286,   5.079, 36,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:23:608, 190266101293925,    0.883,   14.000, 4100,  21.404,  22.633,   6.287,  19.690,  20.472,   5.687, 37,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:23:719, 190266379487630,    0.995,   11.000, 4100,  24.897,  25.408,   7.058,  23.211,  23.059,   6.405, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:23:828, 190266650620267,    1.103,   23.000, 4100,  18.354,  27.402,   7.612,  16.554,  24.857,   6.905, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
20:05:23:936, 190266921135118,    1.212,   13.000, 4100,  22.862,  29.880,   8.300,  21.136,  27.148,   7.541, 35,  0,   0.000,   0.000,   0.000,  65.000, 219.000,   0.000,   0.000,   0.000
